,prvdr_id,frst_nm,lst_nm,adrs_id,adr_ln_1,cty,st,zip,org_pac_id,phn_numbr,NPI
0,706015724,JSON,WILSON,,11371 CORTEZ BLVD,,LA,42101750,7719886779,3373128528,1376673103
1,706015724,JSON,LAROCK,FL331361005MI1601XAVEX400,501 DOCTOR MICHAEL DEBAKEY DR,,L,42101750,,3374338400,1861468068
2,,WEST,DOUGLAS,,100 E IDAHO ST,,,992042307,6709798333,5094742200,1104884295
3,42101826,DOUGLAS,WST,,,SPOKANE,WA,954054559,,5094742277,
4,4101826,DOUGLAS,WST,W992042307SP101XXAVEX400,101 W 8TH AVE,SPOKANE,WA,,35139929,5094742847,1104884295
5,42285892,WEST,DOUGLAS,,,SPRINGFIELD,,92042307,35139929,5094742880,1376673103
6,42101826,AMANDA,,W992042307SP101XXAVEX400,101 W 8TH AVE,WYNEWOOD,WA,,,5094743131,1740241983
7,42217291,,SHAVER,,101 W 8TH AVE,,,992042307,35139929,5094743170,1104884295
8,4101826,DOUGLAS,HOUSE,UT847219746CE1303XSTXX400,101 W 8TH AVE,SPOKANE,W,,,5094744060,
9,,,,,11 W 8TH AVE,SPOKANE,,,,5094745440,1104884295
10,4101826,,PETTEY,,11 W 8TH AVE,,W,,35139929,5094746707,
11,42263113,,WST,PA180455669EA1872XBLVD400,,,WA,212155224,35139929,5094747370,1104884295
12,42251324,,SIMENTAL,,2435 W BELVEDERE AVE,LOMA LINDA,,923542804,,9095582824,1265464077
13,42102154,,NAGLE,C923542804LO11234STXX300,1234 ANDERSON ST,,CA,606127232,,9095582848,1265464077
14,,,SIMENTAL,C923542804LO11234STXX300,701 OSTRUM ST,,,,1153227814,9095585174,
15,4102154,SIMENTAL,ALFRED,CA923543450LO11370STXX300,,,,,1153227814,9095582154,
16,923543450,ALFRED,SMENTAL,C923543450LO11370STXX300,11370 ANDERSON ST,LMA LINDA,CA,42102154,,9095582799,
17,,AFRED,SMENTAL,CA923543450LO11370STXX300,1370 ANDERSON ST,LOMA LINDA,,93543450,,9095582802,
